"Nr OKW";"Kod TERYT";"Powiat";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"% głosów ważnych";"Andrzej Sebastian DUDA";"Rafał Kazimierz TRZASKOWSKI";"Liczba obwodów"
41;"281400";"olsztyński";"warmińsko-mazurskie";"63,01";"0,92";"53,69";"46,31";"";"99,08";"41,81";"58,19";133
42;"281500";"ostródzki";"warmińsko-mazurskie";"61,30";"0,75";"53,02";"46,98";"";"99,25";"44,89";"55,11";81
41;"281600";"piski";"warmińsko-mazurskie";"60,77";"0,82";"52,48";"47,52";"";"99,18";"54,00";"46,00";44
41;"281700";"szczycieński";"warmińsko-mazurskie";"62,87";"0,86";"52,81";"47,19";"";"99,14";"52,12";"47,88";68
41;"281800";"gołdapski";"warmińsko-mazurskie";"56,60";"0,66";"53,85";"46,15";"";"99,34";"46,99";"53,01";24
41;"281900";"węgorzewski";"warmińsko-mazurskie";"62,61";"0,87";"46,30";"53,70";"";"99,13";"42,65";"57,35";26
42;"286100";"Elbląg";"warmińsko-mazurskie";"64,85";"0,88";"55,00";"45,00";"";"99,12";"42,63";"57,37";62
41;"286200";"Olsztyn";"warmińsko-mazurskie";"70,67";"0,86";"64,80";"35,20";"";"99,14";"35,92";"64,08";101
47;"300100";"chodzieski";"wielkopolskie";"67,51";"0,87";"58,69";"41,31";"";"99,13";"39,32";"60,68";36
47;"300200";"czarnkowsko-trzcianecki";"wielkopolskie";"65,49";"0,78";"54,41";"45,59";"";"99,22";"45,13";"54,87";61
45;"300300";"gnieźnieński";"wielkopolskie";"67,79";"0,80";"59,47";"40,53";"";"99,20";"47,22";"52,78";92
46;"300400";"gostyński";"wielkopolskie";"63,38";"0,93";"57,51";"42,49";"";"99,07";"58,26";"41,74";58
43;"300500";"grodziski";"wielkopolskie";"66,02";"0,98";"54,55";"45,45";"";"99,02";"52,57";"47,43";30
44;"300600";"jarociński";"wielkopolskie";"66,00";"0,86";"56,73";"43,27";"";"99,14";"56,52";"43,48";37
44;"300700";"kaliski";"wielkopolskie";"67,47";"0,98";"59,45";"40,55";"";"99,02";"67,28";"32,72";62
44;"300800";"kępiński";"wielkopolskie";"66,72";"0,72";"55,02";"44,98";"";"99,28";"52,84";"47,16";43
45;"300900";"kolski";"wielkopolskie";"65,36";"0,81";"53,48";"46,52";"";"99,19";"67,93";"32,07";62
45;"301000";"koniński";"wielkopolskie";"67,22";"0,90";"61,77";"38,23";"";"99,10";"68,28";"31,72";96
46;"301100";"kościański";"wielkopolskie";"67,27";"0,88";"56,91";"43,09";"";"99,12";"49,15";"50,85";53
44;"301200";"krotoszyński";"wielkopolskie";"64,97";"0,85";"59,76";"40,24";"";"99,15";"56,53";"43,47";45
46;"301300";"leszczyński";"wielkopolskie";"67,30";"0,85";"55,08";"44,92";"";"99,15";"48,20";"51,80";39
43;"301400";"międzychodzki";"wielkopolskie";"65,14";"0,73";"50,00";"50,00";"";"99,27";"41,08";"58,92";22
43;"301500";"nowotomyski";"wielkopolskie";"68,59";"0,83";"64,02";"35,98";"";"99,17";"42,88";"57,12";49
43;"301600";"obornicki";"wielkopolskie";"67,41";"0,82";"54,88";"45,12";"";"99,18";"42,06";"57,94";46
44;"301700";"ostrowski";"wielkopolskie";"67,85";"0,79";"60,87";"39,13";"";"99,21";"51,66";"48,34";110
44;"301800";"ostrzeszowski";"wielkopolskie";"66,46";"0,83";"54,77";"45,23";"";"99,17";"55,15";"44,85";55
47;"301900";"pilski";"wielkopolskie";"66,45";"0,89";"59,33";"40,67";"";"99,11";"43,54";"56,46";82
44;"302000";"pleszewski";"wielkopolskie";"66,74";"0,86";"62,99";"37,01";"";"99,14";"57,41";"42,59";54
43;"302100";"poznański";"wielkopolskie";"76,48";"0,87";"62,10";"37,90";"";"99,13";"32,49";"67,51";206
46;"302200";"rawicki";"wielkopolskie";"63,68";"0,87";"56,81";"43,19";"";"99,13";"51,30";"48,70";43
45;"302300";"słupecki";"wielkopolskie";"65,58";"0,71";"56,11";"43,89";"";"99,29";"58,63";"41,37";42
43;"302400";"szamotulski";"wielkopolskie";"68,71";"0,88";"60,00";"40,00";"";"99,12";"41,34";"58,66";55
45;"302500";"średzki";"wielkopolskie";"67,74";"1,00";"55,08";"44,92";"";"99,00";"49,53";"50,47";39
45;"302600";"śremski";"wielkopolskie";"66,72";"0,98";"66,67";"33,33";"";"99,02";"47,84";"52,16";36
45;"302700";"turecki";"wielkopolskie";"66,38";"0,86";"60,11";"39,89";"";"99,14";"66,70";"33,30";58
47;"302800";"wągrowiecki";"wielkopolskie";"65,39";"0,81";"57,80";"42,20";"";"99,19";"47,22";"52,78";47
43;"302900";"wolsztyński";"wielkopolskie";"70,04";"1,15";"58,54";"41,46";"";"98,85";"47,84";"52,16";41
45;"303000";"wrzesiński";"wielkopolskie";"68,41";"0,77";"60,63";"39,37";"";"99,23";"51,02";"48,98";52
47;"303100";"złotowski";"wielkopolskie";"60,53";"0,80";"56,03";"43,97";"";"99,20";"46,17";"53,83";48
44;"306100";"Kalisz";"wielkopolskie";"69,73";"0,77";"62,41";"37,59";"";"99,23";"41,01";"58,99";55
45;"306200";"Konin";"wielkopolskie";"68,57";"0,74";"57,88";"42,12";"";"99,26";"48,38";"51,62";47
46;"306300";"Leszno";"wielkopolskie";"70,97";"0,94";"56,41";"43,59";"";"99,06";"34,74";"65,26";34
43;"306400";"Poznań";"wielkopolskie";"75,43";"0,87";"60,39";"39,61";"";"99,13";"28,06";"71,94";251
49;"320100";"białogardzki";"zachodniopomorskie";"59,13";"0,83";"57,39";"42,61";"";"99,17";"45,22";"54,78";35
49;"320200";"choszczeński";"zachodniopomorskie";"58,95";"0,75";"54,82";"45,18";"";"99,25";"49,05";"50,95";37
49;"320300";"drawski";"zachodniopomorskie";"60,37";"0,73";"45,77";"54,23";"";"99,27";"44,72";"55,28";51
48;"320400";"goleniowski";"zachodniopomorskie";"62,48";"0,91";"57,22";"42,78";"";"99,09";"44,07";"55,93";51
48;"320500";"gryficki";"zachodniopomorskie";"63,21";"0,74";"48,20";"51,80";"";"99,26";"44,96";"55,04";45
48;"320600";"gryfiński";"zachodniopomorskie";"62,40";"0,90";"58,69";"41,31";"";"99,10";"49,12";"50,88";62
48;"320700";"kamieński";"zachodniopomorskie";"70,16";"0,56";"55,26";"44,74";"";"99,44";"38,72";"61,28";43
49;"320800";"kołobrzeski";"zachodniopomorskie";"72,11";"0,66";"50,80";"49,20";"";"99,34";"38,82";"61,18";53
49;"320900";"koszaliński";"zachodniopomorskie";"68,68";"0,74";"56,44";"43,56";"";"99,26";"40,77";"59,23";62
48;"321000";"myśliborski";"zachodniopomorskie";"60,97";"0,67";"47,09";"52,91";"";"99,33";"45,26";"54,74";53
48;"321100";"policki";"zachodniopomorskie";"70,64";"0,85";"61,43";"38,57";"";"99,15";"34,88";"65,12";43
48;"321200";"pyrzycki";"zachodniopomorskie";"60,89";"0,84";"50,32";"49,68";"";"99,16";"57,63";"42,37";27
49;"321300";"sławieński";"zachodniopomorskie";"68,65";"0,69";"58,62";"41,38";"";"99,31";"43,88";"56,12";45
48;"321400";"stargardzki";"zachodniopomorskie";"65,39";"0,78";"50,00";"50,00";"";"99,22";"44,88";"55,12";75
49;"321500";"szczecinecki";"zachodniopomorskie";"60,98";"0,77";"57,91";"42,09";"";"99,23";"46,77";"53,23";51
49;"321600";"świdwiński";"zachodniopomorskie";"58,73";"0,78";"53,33";"46,67";"";"99,22";"48,72";"51,28";37
49;"321700";"wałecki";"zachodniopomorskie";"62,43";"0,74";"56,99";"43,01";"";"99,26";"41,55";"58,45";37
48;"321800";"łobeski";"zachodniopomorskie";"57,82";"0,75";"45,08";"54,92";"";"99,25";"48,56";"51,44";29
49;"326100";"Koszalin";"zachodniopomorskie";"70,06";"0,76";"54,19";"45,81";"";"99,24";"35,25";"64,75";53
48;"326200";"Szczecin";"zachodniopomorskie";"70,43";"0,85";"61,91";"38,09";"";"99,15";"36,32";"63,68";207
48;"326300";"Świnoujście";"zachodniopomorskie";"70,65";"0,88";"60,93";"39,07";"";"99,12";"34,08";"65,92";27
